Food,Water(g),Protein(g),Fat(g),Carbs(g),SFA(100g),MUFA(100g),PUFA(100g),Calories(100g),Category
hausa koko,93.8,0.5,0.4,5.3,0,0,0,26.8,Carbohydrate
koko,93.8,0.5,0.4,5.3,0,0,0,26.8,Carbohydrate
akpler,66.6,1.4,0.8,31.2,0,0,0,137.6,Carbohydrate
banku,70.6,2.7,1.3,25.4,0,0,0,124.1,Carbohydrate
Ga kenkey,64.2,3.6,1.7,30.5,0,0,0,151.7,Carbohydrate
fante kenkey,70.5,3,1.4,25.1,0,0,0,125,Carbohydrate
rice,64.7,2.9,0.4,30.2,0,0,0,136,Carbohydrate
wheat bread,24.3,11.7,3.7,60.3,25.8,16.6,57.6,321.3,Snack/Dessert/Baked
bofrot,28,9.5,6.9,55.6,86.8,8.3,4.3,322.5,Snack/Dessert/Baked
biscuits,35.4,8.8,6.7,49.1,36.6,43.7,12.6,291.9,Snack/Dessert/Baked
ricewater,90.6,1,0.3,8.1,0,0,0,39.1,Carbohydrate
wheat,62.4,4.6,1.8,31.2,0,0,0,159.4,Carbohydrate
boiled cassava,59.6,0.7,0.5,39.2,0,0,0,164.1,Carbohydrate
fried cassava balls,19.5,0.7,6.8,70.3,88.6,8.8,2.4,345.2,Snack/Dessert/Baked
gari,7.2,0.9,1.1,90.3,0,0,0,374.7,Carbohydrate
kokonte,71.1,0.5,0.5,27.9,0,0,0,118.1,Carbohydrate
yake yake,53.2,0.4,0.5,45.9,0,0,0,189.7,Carbohydrate
boiled cocoyam,59.2,3,0.6,37.2,0,0,0,166.2,Carbohydrate
ripe boiled plantain,48.2,1.7,0.7,49.4,0,0,0,210.7,Carbohydrate
roasted plantain,48.2,1.7,0.4,49.4,0,0,0,208,Carbohydrate
fufu ,63.1,0.7,0.4,35.8,0,0,0,149.6,Carbohydrate
boiled yam,61.5,1.8,0.3,36.4,0,0,0,155.5,Carbohydrate
fried yam,45.9,3.3,3.5,45.3,66.3,20.3,13.1,225.9,Carbohydrate
banana,68.1,1.1,0.3,30.3,0,0,0,128.3,Snack/Dessert/Baked
ripe plantain,50.2,1.4,2.7,45.7,76.4,16.7,5.7,212.7,Carbohydrate
cocoyam porridge,76,1.3,3.5,15.2,54.7,35.5,9.7,97.5,Carbohydrate
cocoyam,30.8,3.4,3.6,62.2,77.4,17.3,3.6,294.8,Carbohydrate
plantain balls,37.5,2.6,4.3,52.8,75.5,19.1,5.4,260.3,Snack/Dessert/Baked
beans,72.2,5.5,5.2,17.1,48.4,37.5,13.9,137.2,Stew/Soup/Sauce
roasted groundnuts,10.1,25.6,52.2,12.1,24.1,49.2,26.5,620.6,Snack/Dessert/Baked
coconut milk,91.9,0.2,0.2,7.7,0,0,0,33.4,Stew/Soup/Sauce
groundnut soup,70.2,6.4,10.3,13.1,27,47.1,24.6,170.7,Stew/Soup/Sauce
light soup,90.8,1.2,1.9,6,0,0,0,45.9,Stew/Soup/Sauce
okro soup(oiless),88.9,1.4,1.9,7.8,58.5,34,4.4,53.9,Stew/Soup/Sauce
palm soup,89.4,0.8,13.2,2.9,39.9,20.9,9.7,133.6,Stew/Soup/Sauce
okro soup(palm oil),85.5,1.7,9.7,3.1,49.4,40.2,10.4,106.5,Stew/Soup/Sauce
agushie stew,59.4,5.4,25.8,9.4,43.6,31.5,24.8,291.4,Stew/Soup/Sauce
bean stew,62.6,6.6,11.5,18.6,47.7,39.2,13,204.3,Stew/Soup/Sauce
nkontomire stew,63,1.6,24.9,10.5,49.7,37.2,13,272.5,Stew/Soup/Sauce
pie,19.9,11.1,16.3,52.7,30.2,30.4,35,401.9,Snack/Dessert/Baked
rice and stew,56.9,2.4,20.1,26.6,17.1,64.6,0.8,296.9,Mixed Meal
waakye,62.7,2.8,9.2,27.6,29.2,36.9,28.3,204.4,Mixed Meal
garden egg stew,69.7,2.9,19.7,7.7,48.7,37.7,13.4,219.7,Stew/Soup/Sauce
palaver sauce,58.7,3.4,30.2,7.7,47.2,35.2,17.4,316.2,Stew/Soup/Sauce
coconut oil gravy,46.1,0.9,44.7,8.3,91.8,6.6,1.4,439.1,Stew/Soup/Sauce
palm kernel oil gravy,43.4,0.8,46.2,9.6,85.1,12.4,2.4,457.4,Stew/Soup/Sauce
palm oil gravy,58.4,1,31.5,9.1,48.2,38.6,13.1,323.9,Stew/Soup/Sauce
cowhide,75.9,25.5,0.5,0,47.1,42,2.7,106.5,Protein
snails,75.5,16.3,1.5,0,27.8,40.6,26.1,78.7,Protein
"anchovy, smoked",10.9,65.9,8.9,0,37,17.7,38.4,343.7,Protein
"anchovy, sun-dried",9.1,65.4,7.6,0,39.2,18.2,36.8,330,Protein
kako,31.1,40.7,2.4,0,44.9,98,0,184.4,Protein
crab,59.5,13,1.1,0,28.4,28.2,33.4,61.9,Protein
smoked mackerel,61.5,25.4,11.1,0,30.2,44.3,24.6,201.5,Protein
tomatoes mackerel,59.9,12.4,23.6,0,22.3,46.4,29.3,262,Protein
smoked sardines,10,70,8.5,0,39.5,17.7,37.4,356.5,Protein
canned sardines,52.1,20.6,22.4,0,16.8,39.3,43.7,284,Protein
smoked seabream,58.9,37.8,2.9,0,38.5,14.7,41,177.3,Protein
smoked tuna,62.3,31.8,1.9,0,51.2,29.4,14.7,144.3,Protein
salted tilapia,37.8,37.9,4.8,0,51.7,31.1,12.7,194.8,Protein
smoked herring ,54.5,43.5,3.2,0,45.7,25.8,26.9,202.8,Protein
tilapia coconut oil,10.8,36.5,40.5,0,72.2,21.7,6.1,510.5,Ingredient
"milk, nestle",67.9,7.7,8.4,16,60.8,32.1,3.5,170.4,Dairy
coconut oil,0,0,0,0,79.9,12.6,7.5,0,Ingredient
palm oil,0,0,0,0,49.4,40.3,10.1,0,Ingredient
palm kernel oil,0,0,0,0,83.7,15,3.6,0,Ingredient
margarine,15.3,0,84.7,0,40.9,44.5,8,762.3,Ingredient
sugar cane,79.8,0.3,0.2,19.7,0,0,0,81.8,Snack/Dessert/Baked
Jollof Rice,60,5,3.5,30,1,1.2,0.8,171.5,Mixed Meal
oats,8,13.2,6.5,67.7,1.2,2.2,2.6,382.1,Dairy
Powdered Milk,2,10,12,71,5.6,3.4,1.5,432,Dairy
Greek Yoghurt,82,8.7,4.5,4,2.9,1.1,0.1,91.3,Snack/Dessert/Baked
Indomie ,5,8,17,58,8,5,3,417,Carbohydrate
Cassava & Plantain Fufu,64,2,0.3,33,0.1,0.1,0.2,142.7,Carbohydrate
Omotuo,65,2.7,0.3,35.2,0.1,0.1,0.2,154.3,Carbohydrate
bread,37,8.5,4.2,48,1,0.8,0.5,263.8,Snack/Dessert/Baked
eggs,74,12.6,10.6,1.1,3.3,4,1.3,150.2,Protein
Chicken Sausage,58,12,18,2,5,7,4,218,Protein
Eto ,65,2.3,0.4,31,0.1,0.1,0.2,136.8,Mixed Meal
Fried Rice,63.4,3.1,7.5,29.1,1.3,3,0.9,196.3,Mixed Meal
Milo,0,11.6,10.7,66,6.6,0,0,406.7,Snack/Dessert/Baked
